Date,open,high,low,close,volume
2020-01-02,206.39458905704603,208.08888244628906,205.99027304980757,208.08888244628906,30969400
2020-01-03,205.3356379037904,207.4246109553394,205.31638056676368,206.18276977539062,27518900
2020-01-06,204.56554993508857,207.54017017112625,204.31526325616625,207.51129150390625,21655300
2020-01-07,207.58826942270514,208.06960004320752,206.82777350549108,207.4823760986328,22139300
2020-01-08,207.4535153257553,209.99494063359947,207.12621400096043,209.04190063476562,26397300
2020-01-09,210.7650811571285,211.21753317284433,209.58101179361842,210.81321716308594,23547000
2020-01-10,211.64108555426068,211.66032820349986,209.8986563211332,210.2740936279297,21898500
2020-01-13,211.1404753010303,212.72886034930957,210.80353801731354,212.69998168945312,22756900
2020-01-14,212.59413567141934,212.95033037063425,211.53521696666027,211.86251831054688,24418100
2020-01-15,211.97800585985289,212.94066711688131,211.25600991708154,211.94912719726562,25742100
2020-01-16,213.00807927105038,214.01887661802502,212.5556272651574,213.98036193847656,18805000
2020-01-17,214.94300412180323,215.2125480984314,213.826313539175,215.03927612304688,24325200
2020-01-21,214.44239000014406,215.4820657927774,214.3461326996859,214.94297790527344,21146300
2020-01-22,216.03083166997536,216.7431916501498,215.24144233199746,215.510986328125,20736400
2020-01-23,215.38583305580516,216.30035830419158,214.3846571313682,216.20408630371094,26496100
2020-01-24,217.21486979666307,217.44591376975796,213.3931037065184,214.3846435546875,37436500
2020-01-27,209.54249938714563,211.0923847858952,209.07079002611857,209.95645141601562,42264400
2020-01-28,211.43890576550353,213.67228680431208,210.88056050580138,213.1813201904297,26731900
2020-01-29,214.36541898599006,214.60608431969396,212.584504330009,213.5279083251953,28924500
2020-01-30,212.15135758610006,214.38472474902215,211.4871187647973,214.28846740722656,39568100
2020-01-31,215.1836740824446,215.21255274563228,210.13932370267952,210.8902130126953,52015800
2020-02-03,211.9202176725384,214.56753574383518,211.77582438063027,214.0765838623047,25408600
2020-02-04,217.003073695974,219.35196924167442,216.26182050087004,218.97653198242188,30691200
2020-02-05,221.61429467698002,221.65279467107086,218.37975167858292,219.69859313964844,38534800
2020-02-06,220.2472362904374,221.65272802141786,219.46748311539727,221.594970703125,22467100
2020-02-07,220.60346778448653,221.8356730775583,220.00660778790325,220.6419677734375,25884900
2020-02-10,219.91036970968705,223.3181845582399,219.85261237668485,223.30856323242188,21478900
2020-02-11,224.54079723541068,225.28205071113652,222.75986756606974,223.3470916748047,30198000
2020-02-12,224.66589136104858,225.62855262876883,224.1075460630854,225.5226593017578,24471300
2020-02-13,223.95356047870246,226.15804874919453,223.6840164462156,225.23390197753906,22773200
2020-02-14,225.59002864983847,226.09061660134358,224.8295327428789,225.8788299560547,23438500
2020-02-18,224.78140014489773,226.3890426573386,224.5407348342501,225.96546936035156,24394500
2020-02-19,227.3132316427599,228.6031943398197,227.04368763707714,228.13148498535156,22230500
2020-02-20,227.630904772885,228.10259942404699,223.22191411457885,226.0136260986328,42604000
2020-02-21,224.88731289044486,225.27237154511687,220.75750226626002,221.67202758789062,66017200
2020-02-24,213.40276152038396,215.87680824645918,212.0357841628467,213.12359619140625,84522600
2020-02-25,214.9141294214852,215.6265040523048,206.72188726776398,207.32835388183594,97743000
2020-02-26,208.61833429356105,212.0550274551949,206.8759050225816,208.39691162109375,79537700
2020-02-27,203.0252317935276,208.33912548414438,197.82686743010575,197.96163940429688,121822600
2020-02-28,191.22306338168502,199.43456409770943,190.7706113403432,198.11572265625,148173700
2020-03-02,201.08071208166103,208.48358038250777,198.25048529776444,208.33917236328125,112933900
2020-03-03,209.00340544932334,211.41005881468837,199.86774398634094,201.65829467773438,131953500
2020-03-04,205.35489588925387,210.17782325205556,203.47769478289422,210.07192993164062,73086200
2020-03-05,204.74843219637864,208.2813973693051,202.2551429797237,203.6894989013672,78705500
2020-03-06,197.02793142770298,201.34065092200498,195.33365244148945,200.2528533935547,89828400
2020-03-09,186.25571076647086,193.64895744898524,184.9368694395479,186.3423614501953,116424000
2020-03-10,193.6008010919967,196.67169277449557,186.44822049487513,196.48878479003906,100599200
2020-03-11,191.9065362300721,193.25425617585452,185.53370842889754,187.9307403564453,89168800
2020-03-12,175.29099584868476,183.65652505137072,170.33329593718474,170.69911193847656,137820700
2020-03-13,180.08507955180866,187.21838953654162,171.47888407514031,185.15829467773438,134882000
2020-03-16,167.64749129546604,177.78431553068688,162.8438198989623,162.9785919189453,92054400
2020-03-17,168.91817755211542,177.50511448711484,163.4406324675826,175.33912658691406,121257100
2020-03-18,165.20226689783283,172.52811823197783,160.57186949892508,170.00595092773438,114156300
2020-03-19,169.12998408539326,176.63874595959146,165.22158114311028,171.02642822265625,120896500
2020-03-20,174.9540675165637,176.04186478188208,163.74869072798472,164.32627868652344,118983900
2020-03-23,164.88870592266807,168.06261919939575,159.11007109457017,164.4449462890625,124639800
2020-03-24,173.5614805023816,177.34315284922098,171.67063696878748,177.1791534423828,94881800
2020-03-25,177.91231265868825,182.82269672163997,173.62898595657452,175.86712646484375,88754900
2020-03-26,177.3817006902102,185.9194130709596,177.13088071404565,185.1283416748047,79887600
2020-03-27,180.33370184512842,183.78737438619666,178.1438150531612,178.76123046875,58845000
2020-03-30,180.45916242068188,185.69756024276714,179.76456807167224,185.263427734375,49356900
2020-03-31,184.9547021205792,188.36013644435263,182.5236222301767,183.6812744140625,62659300
2020-04-01,178.24996973899405,181.03798885377915,174.4779395483002,175.87677001953125,53715400
2020-04-02,174.84457329905,183.391930279817,174.58409669136677,179.4462432861328,56465300
2020-04-03,179.0024188081175,180.46878602393093,174.89273387332196,176.8993377685547,47487600
2020-04-06,183.75849134675707,190.67548040616995,182.51401830274105,189.54676818847656,64763500
2020-04-07,195.22891014093685,195.50868507557513,189.08369477137842,189.46957397460938,69904500
2020-04-08,191.15784412216092,194.07128103230755,189.24771681302164,193.49246215820312,45940400
2020-04-09,195.20962881995843,196.04892419321612,192.0067754575091,193.77220153808594,68252600
2020-04-13,192.9426127333893,196.24192964468787,191.7367214038056,195.86569213867188,42853900
2020-04-14,199.91743854242642,205.00147935205533,199.13602349403456,204.38406372070312,63959600
2020-04-15,201.12327513593752,204.35506817638338,199.8112654345451,202.0397491455078,47036000
2020-04-16,204.22005647977275,206.8054797369004,202.29063086567177,205.72500610351562,64657400
2020-04-17,208.54194506062095,208.86994384961935,204.59627360380796,207.6929931640625,62863200
2020-04-20,205.83108831436854,208.2621682753438,205.06897180996003,205.23297119140625,38249100
2020-04-21,203.16855155775067,203.70878845023893,196.44450117158894,197.6600341796875,72932800
2020-04-22,201.72144351385245,204.856759976232,200.97861056876033,203.52545166015625,40089100
2020-04-23,204.3165290973986,206.8730269955325,202.68617673743162,203.0913543701172,43278500
2020-04-24,203.5254683224947,206.73796383493092,202.10733927501343,206.294189453125,34231900
2020-04-27,208.56124968907324,208.98572565007797,206.93088280264516,207.95347595214844,36451700
2020-04-28,209.65137833959244,209.65137833959244,203.75698294826117,204.0367431640625,46862800
2020-04-29,208.56128434854725,212.20789793540712,207.54833285878604,211.27212524414062,48716400
2020-04-30,212.18853634004532,212.27535694235462,209.68029237780573,211.18524169921875,43359500
2020-05-01,206.93086012903768,209.02428477975232,204.21036343360285,205.23297119140625,48795000
2020-05-04,203.99815849028087,207.8473528266269,203.67014497762716,207.62547302246094,32841000
