entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-10-05,49174.9609375,2021-10-24,61368.34375,19,0.24671184086972553,,訊號次日開盤
2022-02-08,43854.65234375,2022-02-18,40552.1328125,10,-0.0762302565284273,,訊號次日開盤
2022-03-20,42191.40625,2022-04-04,46445.2734375,15,0.09972279900231373,,訊號次日開盤
2022-07-20,23393.19140625,2022-07-27,21244.169921875,7,-0.09277293550209953,,訊號次日開盤
2022-10-29,20595.103515625,2022-11-04,20208.76953125,6,-0.019739286780604215,,訊號次日開盤
2022-12-13,17206.44140625,2022-12-18,16795.609375,5,-0.024852276942156415,,訊號次日開盤
2023-01-10,17192.94921875,2023-01-28,23079.96484375,18,0.34106697575635025,,訊號次日開盤
2023-02-19,24640.02734375,2023-02-25,23200.125,6,-0.059378622193605124,,訊號次日開盤
2023-03-17,25055.123046875,2023-03-28,27132.888671875,11,0.08184538915079886,,訊號次日開盤
2023-05-01,29227.103515625,2023-05-09,27695.068359375,8,-0.05336541074491585,,訊號次日開盤
2023-06-24,30708.73828125,2023-07-02,30587.26953125,8,-0.004951057648379886,,訊號次日開盤
2023-09-19,26760.8515625,2023-09-26,26294.7578125,7,-0.018399091891902253,,訊號次日開盤
2024-02-11,47768.96875,2024-02-22,51854.64453125,11,0.08444492641645818,,訊號次日開盤
2024-04-11,70575.734375,2024-04-13,67188.375,2,-0.0489476192234265,,訊號次日開盤
2024-07-20,66709.921875,2024-07-31,66201.2734375,11,-0.008616658672152444,,訊號次日開盤
2024-09-18,60309.0,2024-10-02,60836.32421875,14,0.0077354673015948006,,訊號次日開盤
2024-10-15,66050.3671875,2024-10-25,68165.296875,10,0.030988449321262657,,訊號次日開盤
2025-01-19,104411.2890625,2025-01-28,102095.4140625,9,-0.023157643331260802,,訊號次日開盤
2025-04-17,84030.671875,2025-05-05,94319.5625,18,0.12132020334049187,,訊號次日開盤
2025-06-28,107090.546875,2025-07-20,117944.109375,22,0.10024859940008968,,訊號次日開盤
2025-08-14,123339.3984375,2025-08-18,117453.90625,4,-0.04866966656390437,,訊號次日開盤
2025-09-16,115423.7578125,2025-09-23,112757.4765625,7,-0.02407634640100531,,訊號次日開盤
2025-10-03,120656.984375,2025-10-11,113236.4296875,8,-0.06243927416462591,,訊號次日開盤
2026-01-06,93876.9453125,2026-01-12,90825.859375,6,-0.033467923313670656,,訊號次日開盤
2026-04-11,72976.125,2026-04-28,77368.1171875,17,0.059124305860837945,,訊號次日開盤
2026-07-10,63194.359375,2026-07-26,64311.78515625,16,0.01666519205720518,,訊號次日開盤
2026-08-09,64906.55078125,2026-08-13,63404.42578125,4,-0.024119256385809584,,訊號次日開盤
2026-08-24,77748.875,2026-08-31,77673.703125,7,-0.0019653887041085616,,訊號次日開盤
