Date,open,high,low,close,bull,bull_on,confirm_23,bx,pos_to_neg
2021-09-15,112.83745216271254,112.92041072139034,111.42709337025708,111.99861145019533,True,False,False,0.334362818050316,False
2021-09-16,111.07024695956407,112.11615590957044,110.46861504286856,111.80146026611328,True,False,False,-10.35289301477865,True
2021-09-17,111.24610911544232,111.50527189205542,108.93214566474524,108.98767852783205,True,False,False,-21.390532727915787,False
2021-09-20,106.62742737036687,107.37715629085152,105.1002172226272,106.16463470458984,False,False,False,-30.325038747210456,False
2021-09-21,107.0439525089472,107.24758242602582,106.02580998521032,106.4052963256836,False,False,False,-35.91617493990326,False
2021-09-22,106.65519222386008,107.59002824862314,106.35900522421784,107.24756622314452,False,False,False,-38.98392362918046,False
2021-09-23,108.2657253182298,108.2657253182298,106.98841294735544,107.54376983642578,False,False,False,-40.40128354658869,False
2021-09-24,107.3678791932476,107.88620462617524,106.93285303561716,107.03466796875,False,False,False,-41.25979714376899,False
2021-09-27,107.09022672256664,107.89548855349312,106.45157760584468,107.50674438476562,False,False,False,-38.38643698697197,False
2021-09-28,105.82217843738968,106.47934321132604,103.52672358249902,103.57300567626952,False,False,False,-39.71207731924971,False
2021-09-29,103.9432257632611,104.45229341065128,102.75847071872462,103.31382751464844,False,False,False,-41.36009905133608,False
2021-09-30,104.06356158606836,104.9150984165695,103.34160614013672,103.34160614013672,False,False,False,-42.538187795044095,False
2021-10-01,103.66555294099624,103.9432313538932,102.09206076566116,103.25829315185548,False,False,False,-43.217529378715454,False
2021-10-04,102.7399492591362,103.13795114684048,100.44449503342592,100.90728759765624,False,False,False,-44.400048929218215,False
2021-10-05,101.62928782834996,102.13835560184796,101.09244655885162,101.12947082519533,False,False,False,-45.18099170772781,False
2021-10-06,100.37047767415518,101.37010448589857,99.57447370774352,101.20349884033205,False,False,False,-43.67995874499505,False
2021-10-07,102.73996651685069,103.39713122104632,102.26791604478004,102.5826187133789,False,False,False,-28.544892638563965,False
2021-10-08,102.7214700710672,102.8047693668818,101.36085841284584,101.8514175415039,False,False,False,-16.314380590097922,False
2021-10-11,101.88844043050452,103.39714205926768,101.72183477946608,102.05504608154295,False,False,False,-5.070487304931637,False
2021-10-12,102.2494108788061,102.76773639548084,100.48153953754604,101.07391357421876,False,False,False,0.7375254550598962,False
2021-10-13,101.18500860566014,101.86068914133236,100.84253942159928,101.7958984375,False,False,False,8.497221394883248,False
2021-10-14,105.6463179362683,106.2016677689057,102.88807737411824,104.18389129638672,False,False,False,20.17046198931997,False
2021-10-15,106.23868798659058,106.39603580520836,104.55412289014107,106.31273651123048,False,False,False,29.896185411140117,False
2021-10-18,104.9798892274796,106.76626924438416,104.9798892274796,106.75701141357422,False,False,False,36.20366177758284,False
2021-10-19,107.1827792054498,108.27497012806568,107.02542433958716,108.25645446777344,False,False,False,40.373400466113594,False
2021-10-20,108.18241694026432,108.32125615993957,106.9513937486726,106.98841094970705,False,False,False,42.6189988624892,False
2021-10-21,106.45158143971328,107.69186251650969,106.08134585830992,107.6363296508789,False,False,False,43.980388198028436,False
2021-10-22,107.5900279038074,108.43231387419824,105.72960662841795,105.72960662841795,False,False,False,36.3355421172201,False
2021-10-25,105.88694893077032,106.02578812393838,104.69294316817258,105.18350219726562,False,False,False,25.24867093112477,False
2021-10-26,106.3868042264276,106.72001558575737,105.257588737772,105.68335723876952,False,False,False,17.316040978032987,False
2021-10-27,105.54450213786338,106.4978539709534,105.24831509203293,105.28533935546876,False,False,False,9.88241422009407,False
2021-10-28,105.20204241939598,107.38641751787124,105.09096962659636,107.37716674804688,False,False,False,11.403995461047948,False
2021-10-29,105.58151328745576,105.69258606396734,104.79476720671734,105.23904418945312,False,False,False,6.355657716201225,False
2021-11-01,105.12799825073976,105.83143811600816,104.91511048779232,105.62781524658205,False,False,False,1.9672219818136636,False
2021-11-02,105.13725997648716,106.25722471414524,105.09098493565516,105.61856842041016,True,True,False,-1.662210347320955,True
2021-11-03,104.99841754330558,105.60930027892356,104.34125270971586,105.5260009765625,True,False,False,-5.027101590253318,False
2021-11-04,104.93362559194496,109.08024447646528,104.0450644024049,109.02471160888672,True,False,True,7.420129130855069,False
2021-11-05,109.37642049943452,110.63521715630368,107.59929829973314,109.0339584350586,True,False,False,17.502947579325944,False
2021-11-08,109.58007234686224,113.1528331232952,108.33979110344988,111.9125518798828,True,False,False,26.972437288678982,False
2021-11-09,112.22723716115352,114.09691668549289,111.22760316834318,112.7177963256836,True,False,False,33.51165668936281,False
2021-11-10,110.70001101932212,111.81071772218522,108.9228887687285,109.40419006347656,True,False,False,28.13812243402748,False
2021-11-11,110.3853039590082,111.50526131551624,109.03395027937896,109.39492797851562,True,False,False,19.77091393847848,False
2021-11-12,109.58005623224145,109.97805824139732,108.54339802983034,109.85773468017578,True,False,False,12.935724073092565,False
2021-11-15,110.44086953308025,110.73705663194964,108.7655619171306,109.33016967773438,True,False,False,5.2849126890202065,False
2021-11-16,108.93215121551484,109.57080035852428,108.441592068835,109.29312896728516,True,False,False,-1.6902366013202528,True
2021-11-17,109.21908461105082,110.65374490306203,108.76554971154,110.20020294189452,True,False,False,-4.600549910728874,False
2021-11-18,111.04247705049649,114.36532511172324,110.88512923369512,114.20797729492188,True,False,False,6.63859663255792,False
2021-11-19,112.94918606456552,115.51306159598862,112.93992823323354,115.01324462890624,True,False,False,16.870226971351414,False
2021-11-22,114.309784730594,118.55821787471136,114.04136414577128,115.46676635742188,True,False,False,24.074003157434497,False
2021-11-23,113.58783718941596,114.03211421034972,110.62595978268185,112.32904052734376,True,False,False,17.669711692344862,False
2021-11-24,111.07024459633008,111.8755064118496,109.58930941404353,111.72740936279295,True,False,False,7.3129664938621595,False
