Date,open,high,low,close,bull,bull_on,confirm_23,bx,pos_to_neg
2021-09-15,364.64192016733983,367.2428241323064,362.3515502395031,366.8934326171875,True,False,False,-33.50358042508095,False
2021-09-16,365.5639714270887,367.7184592644922,363.6424212052076,367.1458740234375,True,False,False,-34.31419006489618,False
2021-09-17,366.6703074633272,366.718820085904,361.7596335323379,362.7980346679688,True,False,False,-37.345419843302004,False
2021-09-20,357.0113261247993,358.7504360667191,350.66700680296344,355.3013916015625,False,False,False,-41.28274299509989,False
2021-09-21,357.12791752385976,358.32295337490024,354.6115672536215,355.73858642578125,False,False,False,-43.854885508469835,False
2021-09-22,356.65187839398413,360.5187187014384,355.55400493496865,359.0613708496094,False,False,False,-44.03044013249375,False
2021-09-23,360.217574445798,363.404307570577,359.5763377643105,362.37445068359375,False,False,False,-33.8991031999744,False
2021-09-24,360.1106895280067,363.1322731716639,359.7414899525931,362.7144775390625,False,False,False,-22.534602531266916,False
2021-09-27,359.6735155077415,360.6936472967327,357.2737478333367,359.8192443847656,False,False,False,-18.00841641331987,False
2021-09-28,355.2723036782193,359.77062620482974,349.13200373868887,349.63720703125,False,False,False,-24.267325521963052,False
2021-09-29,350.90029877023125,353.03772492250675,348.4422394227289,349.06402587890625,False,False,False,-29.939279514846792,False
2021-09-30,350.7058843035633,352.3672524598552,346.9459317999372,347.7814636230469,False,False,False,-34.09319315919645,False
2021-10-01,348.40329448757456,350.9779363955298,344.3032880653489,349.9383544921875,False,False,False,-35.252188649906586,False
2021-10-04,348.32552058741487,348.6558491744468,340.35870429177703,342.5932922363281,False,False,False,-37.769386107517,False
2021-10-05,343.6523296162224,349.4623003725709,343.4288885889361,347.2179870605469,False,False,False,-34.512395889611604,False
2021-10-06,344.01182553733474,349.71493870708895,343.10827693175275,349.4429016113281,False,False,False,-23.90257696886781,False
2021-10-07,352.48386870945467,355.291706576554,351.94951966995245,352.6490478515625,False,False,False,-9.200802313043527,False
2021-10-08,353.72751833333194,353.9607141915723,350.3561852041232,350.8905639648437,False,False,False,1.2708423141434926,False
2021-10-11,349.35541514023294,352.8725062066949,348.11181282191984,348.19927978515625,False,False,False,5.8914294431800585,False
2021-10-12,349.64691210021607,350.0840986793097,346.3435961311823,346.9848327636719,False,False,False,6.447838750854377,False
2021-10-13,349.2874617626891,350.4339017377287,347.266589269575,349.7635192871094,False,False,False,10.957069749878693,False
2021-10-14,353.34861252410167,356.41876265768235,352.68795518708134,356.2050170898437,False,False,False,20.58182327340622,False
2021-10-15,357.41939257925725,358.5658323417555,356.3895358909364,358.4492492675781,False,False,False,28.577336791424685,False
2021-10-18,357.1570749799005,362.2675175062636,356.5547092896847,362.05377197265625,False,False,False,34.59317469504764,False
2021-10-19,363.1225465625317,364.8422065438889,362.1024148133882,364.7936401367188,True,True,False,38.790004498808955,False
2021-10-20,365.2502908972937,365.8623818299415,362.8407980838068,364.3175964355469,True,False,False,41.34315908473194,False
2021-10-21,363.5208656700808,366.7367443478896,363.2196828077956,366.54241943359375,True,False,True,43.06767153397587,False
2021-10-22,365.2891022902149,366.2509423706017,361.8011867064768,363.4625549316406,True,False,False,40.50985510078708,False
2021-10-25,364.8810801691298,368.096959102957,362.93794947075344,367.1836853027344,True,False,False,39.87248960140905,False
2021-10-26,369.4183272928476,371.8277905388129,367.1642884209636,368.3398742675781,True,False,False,40.06959273196266,False
2021-10-27,368.78672325168736,372.2552182979416,368.5244113090448,369.1947937011719,True,False,False,40.510678515920894,False
2021-10-28,371.0893877086592,373.5474467946845,370.3218428000319,373.2948303222656,True,False,False,41.845431816707844,False
