Date,open,high,low,close,bull,bull_on,confirm_23,bx,pos_to_neg
2021-09-15,133.07194864880756,133.64441672310306,132.0143624792256,133.63470458984375,True,False,False,5.672267081826865,False
2021-09-16,132.57225821424143,134.23141919592936,132.01921442373262,133.82875061035156,True,False,False,8.924611194391964,False
2021-09-17,133.41152430460463,133.41152430460463,130.96645076829094,131.4709930419922,True,False,False,-4.749976994917347,True
2021-09-20,128.66210628769906,129.14239797850587,126.34317136513926,128.26914978027344,False,False,False,-20.195585960043065,False
2021-09-21,129.09386058411638,129.43830077883817,127.5220200067074,128.54080200195312,False,False,False,-29.89142446223974,False
2021-09-22,129.2248457379522,131.18964282850308,128.78822909730118,130.8597412109375,False,False,False,-31.044755353933397,False
2021-09-23,131.703882446551,132.88275181728045,131.01984329431664,132.5043487548828,True,True,False,-22.075151435140242,False
2021-09-24,131.46615733345982,132.36365614240952,131.18478677104596,132.14535522460938,True,False,False,-14.217653185943721,False
2021-09-27,130.8500423433333,132.14049759413106,129.87492050679091,131.67477416992188,True,False,True,-10.349013831241317,False
2021-09-28,128.8755329608426,129.79728237419732,126.21215846936568,126.37224578857422,True,False,False,-19.48254159723503,False
2021-09-29,126.45473063215992,126.95927294227866,124.08243128848694,124.46568298339844,False,False,False,-28.04493228956499,False
2021-09-30,125.2613069650264,126.39651604992191,124.30073859853964,124.32498931884766,False,False,False,-33.75197085729786,False
2021-10-01,124.9120161550088,125.00419258431496,122.42328217390308,124.43172454833984,False,False,False,-37.164020197943934,False
2021-10-04,123.4954211519542,123.68947873982702,120.6913537794176,121.1910400390625,False,False,False,-40.14035322617515,False
2021-10-05,122.16130450577492,123.767093090776,121.58399521695917,122.89385986328124,False,False,False,-41.521741769471305,False
2021-10-06,121.4724126052711,123.40809531921482,121.12311636512275,123.26740264892578,False,False,False,-37.83237032152156,False
2021-10-07,125.00903387788044,126.260684968214,124.68400314715272,124.80043029785156,False,False,False,-25.424918247219367,False
2021-10-08,125.35833275222912,125.40684900105994,123.3886944513578,123.5876007080078,False,False,False,-16.62778403457137,False
2021-10-11,122.95692666392904,124.8198425446422,122.81624138618037,122.8501968383789,False,False,False,-11.90193238492552,False
2021-10-12,123.57305080084512,123.8447240358672,121.09402142745802,121.60826110839844,False,False,False,-12.20511267230451,False
2021-10-13,122.69494721380842,123.24314228424517,122.0836751033988,122.64643096923828,False,False,False,-7.586276369945964,False
2021-10-14,125.41170458493237,126.4062210592755,124.69370259820806,126.32859802246094,False,False,False,7.501594159603151,False
2021-10-15,127.34737294927687,127.50261901428176,126.60997634812306,127.38617706298828,False,False,False,19.79895656818407,False
2021-10-18,126.41107577707956,128.4486249526729,125.95504969383434,128.39041137695312,False,False,False,28.405934823029895,False
2021-10-19,128.56505520541023,129.8603515625,128.09447577107375,129.8603515625,False,False,False,34.38321389147362,False
2021-10-20,129.5207719268106,129.9719419181836,128.82702070853443,129.28790283203125,True,True,False,37.93103000710505,False
2021-10-21,128.4195106501228,130.82578020965494,128.3030835054962,130.76271057128906,True,False,False,40.4612018645905,False
2021-10-22,130.5977684156364,131.7475308949286,129.38493629738227,129.60809326171875,True,False,False,41.3169475889633,False
2021-10-25,130.19510529796264,131.0295344223671,129.70997243040375,130.26303100585938,True,False,True,41.913626723652634,False
2021-10-26,131.73297881924623,132.31028809771553,130.52984401607628,131.00527954101562,True,False,False,42.570364655514936,False
2021-10-27,130.24849674761592,131.45161696066816,129.6760286279308,129.89920043945312,True,False,False,36.33489983940268,False
2021-10-28,131.5340513099018,132.41214044594474,131.00040229778466,132.37332153320312,True,False,False,35.52193661586511,False
2021-10-29,131.34487280619328,132.79543020265763,131.1847854680632,132.75177001953125,True,False,False,36.32752319184618,False
2021-11-01,132.87304394672773,134.34783715721704,132.36364556905687,134.2750701904297,True,False,False,38.360844968727456,False
2021-11-02,134.26051234537138,135.83719406216434,134.18774538099677,135.7547149658203,True,False,False,40.696918105160336,False
2021-11-03,135.91481596549042,137.1810055503466,135.38602295531422,137.09854125976562,True,False,False,42.75870470112337,False
2021-11-04,138.40357488523415,143.64786056576278,137.93299536065464,142.7746124267578,True,False,False,45.04549651423417,False
2021-11-05,143.92921549209504,145.4137208813662,142.61450956736513,143.89041137695312,True,False,False,46.570703077456955,False
2021-11-08,144.82669813793248,147.41244951815284,144.16692461839293,146.4810028076172,True,False,False,47.584933937260566,False
2021-11-09,147.97037531060073,148.42640137399007,145.19541481650117,146.67506408691406,True,False,False,48.176216608875706,False
2021-11-10,143.78368956987774,145.69511435767242,141.44048939975193,142.04690551757812,True,False,False,34.60188125938841,False
2021-11-11,144.32701687635236,145.00619987710763,143.32764443129554,144.60354614257812,True,False,False,24.958946277006792,False
2021-11-12,145.07412911748662,146.66050817990876,144.19603985847593,146.07350158691406,True,False,False,19.832996530125136,False
2021-11-15,147.04859733857387,147.04859733857387,144.40948850145543,145.8794403076172,True,False,False,13.722917745736925,False
2021-11-16,145.4864975374344,147.9946260818569,144.94799237512828,147.77146911621094,True,False,False,11.550896721176004,False
2021-11-17,147.81999240536288,148.18868332158834,146.34032825886155,146.8933868408203,True,False,False,5.142631885134517,False
2021-11-18,150.3038666248631,151.18681198555242,148.99885804370143,150.5076141357422,True,False,False,7.544866346644122,False
2021-11-19,150.211700997477,152.36569224069973,149.84785132537968,151.45849609375,True,False,False,11.757523551753327,False
2021-11-22,152.1328212820717,154.67007162799476,149.07163392889635,149.1735076904297,True,False,False,4.849692915696325,False
2021-11-23,148.38758347999297,149.73141095897498,145.52530260634728,148.09165954589844,True,False,False,-6.292409562533911,True
2021-11-24,146.6750790676565,149.66349950537847,145.2827500148149,149.58587646484375,True,False,False,-13.991114670962217,False
2021-11-26,146.81576380737522,148.17412993050706,144.51623872568763,145.248779296875,True,False,False,-23.876844978922215,False
2021-11-29,147.72782328700524,151.2353246590556,147.02923073052196,151.08009338378906,True,False,False,-22.730464813535697,False
2021-11-30,150.45427317834364,151.7350163742846,146.80606418518707,147.91702270507812,True,False,False,-25.057398125690707,False
2021-12-01,150.70653286755578,153.09339325681668,147.2669423730418,147.39308166503906,True,False,False,-28.49334987549306,False
2021-12-02,145.7824323545854,149.01827522091773,145.12265873555916,147.7763214111328,True,False,False,-31.40547031546614,False
2021-12-03,148.8145101358592,150.11951876041385,144.34644048062563,146.09776306152344,True,False,False,-34.735507695911195,False
2021-12-06,145.33125238337863,146.2141977294038,140.93594991788268,145.53985595703125,True,False,False,-37.63757919592133,False
2021-12-07,148.93579394313127,153.0206193010187,148.93579394313127,152.59854125976562,True,False,False,-23.344718228747617,False
2021-12-08,151.76409570440163,152.24922853123616,150.39117631869476,151.93875122070312,True,False,False,-11.670832199904517,False
2021-12-09,150.92481798919357,152.43357390023473,148.12559224035755,148.2614288330078,True,False,False,-10.619881927372692,False
2021-12-10,150.93453407654957,151.24017014927267,147.66959938145723,149.20260620117188,True,False,False,-11.76326393207289,False
2021-12-13,149.7265555374678,149.87694553824198,145.0983839513269,145.3312530517578,True,False,False,-18.333863781258085,False
2021-12-14,143.46835061598298,145.28759889929236,142.44956861631366,144.49197387695312,True,False,False,-24.70539089163678,False
2021-12-15,144.64721666095403,150.57554085755316,143.40527771219732,150.46881103515625,True,False,False,-18.771428375391174,False
2021-12-16,151.206207434467,151.531252967445,143.17240839442496,143.92921447753906,True,False,False,-20.574701814129483,False
2021-12-17,142.65816407970985,145.56410510122217,142.2991705098625,143.2548828125,False,False,False,-24.157337880856282,False
2021-12-20,141.39321215681272,143.1441646388152,140.53481572890686,142.178466796875,False,False,False,-27.921149516866173,False
2021-12-21,145.20238653152785,147.4508340991616,143.21245067343304,147.31427001953125,False,False,False,-21.263247061756555,False
2021-12-22,146.34368394570595,149.070113396352,146.04129310028398,149.0652313232422,False,False,False,-10.595596707655472,False
2021-12-23,149.47493394645545,151.3819641184014,149.30910717729105,150.3479766845703,True,True,False,-0.09925729550281215,False
2021-12-27,150.8600834609214,154.4546587648602,150.74789996582498,154.39613342285156,True,False,False,11.113890687517658,False
2021-12-28,155.01555171692095,155.05946060928298,152.11844299887406,152.87442016601562,True,False,False,18.124784506117532,False
2021-12-29,152.70369313539032,153.9035071973718,151.9184533897801,152.8500213623047,True,False,True,22.196284201852457,False
2021-12-30,152.68906976796617,153.1524201841517,150.84056506072247,151.1136932373047,True,False,False,19.462511833142376,False
2021-12-31,151.2063601789323,152.19158633090535,150.56743375580572,150.60646057128906,True,False,False,13.188484381311268,False
2022-01-03,151.83065005039745,153.9766782971734,151.41120854676208,153.9279022216797,True,False,False,13.330911563970353,False
2022-01-04,154.61072765413073,155.43499423836758,149.82120564161858,153.12802124023438,True,False,False,13.302035629777546,False
2022-01-05,151.9330934697128,153.0890135954684,147.78737983609886,147.8751678466797,True,False,False,0.10590443870678534,False
2022-01-06,147.7532385485294,149.98704010364727,146.20712464341491,149.34324645996094,True,False,False,-9.501476303596473,True
2022-01-07,149.06034170266125,149.54319061626606,144.4610420725223,144.80245971679688,True,False,False,-19.933469104885354,False
