entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_exit
2021-09-17,252.38333129882807,2021-10-06,258.7333374023437,13,0.02413551654454804,訊號次日開盤
2021-10-08,265.4033203125,2021-11-10,336.8033447265625,23,0.26775621835919683,訊號次日開盤
2021-11-18,368.8500061035156,2022-01-11,351.22332763671875,36,-0.04873993757095496,訊號次日開盤
2022-01-13,369.6900024414063,2022-02-23,276.8099975585937,27,-0.2519859231500454,訊號次日開盤
2022-02-28,271.6700134277344,2022-03-15,258.42333984375,11,-0.049710925421381114,訊號次日開盤
2022-04-20,343.3333435058594,2022-06-15,220.9166717529297,39,-0.357196527343565,訊號次日開盤
2022-06-16,222.73666381835935,2022-08-10,297.0666809082031,37,0.3323794906455999,訊號次日開盤
2022-08-15,301.78668212890625,2022-09-26,271.8299865722656,29,-0.10016475704925654,訊號次日開盤
2022-09-29,282.760009765625,2022-11-08,194.0200042724609,28,-0.31452088507717546,訊號次日開盤
2022-11-14,192.7700042724609,2022-12-13,174.8699951171875,20,-0.09376350759188534,訊號次日開盤
2022-12-30,119.9499969482422,2023-02-17,199.9900054931641,33,0.6656116758294672,訊號次日開盤
2023-02-28,210.58999633789065,2023-04-10,179.94000244140625,28,-0.1463974761860044,訊號次日開盤
2023-04-14,183.9499969482422,2023-06-26,250.07000732421875,49,0.35808679768395724,訊號次日開盤
2023-07-03,276.489990234375,2023-07-10,276.4700012207031,4,-0.0010717236046183798,訊號次日開盤
2023-07-17,286.6300048828125,2023-07-21,268.0,4,-0.06593123758102493,訊號次日開盤
2023-07-31,267.4800109863281,2023-09-22,257.3999938964844,38,-0.038646956869571425,訊號次日開盤
2023-09-29,250.0,2023-10-17,250.1000061035156,12,-0.0005998756603143862,訊號次日開盤
2023-10-30,209.27999877929688,2023-12-05,233.8699951171875,25,0.11638113226968438,訊號次日開盤
2023-12-08,240.2700042724609,2024-01-02,250.0800018310547,15,0.03978874751021366,訊號次日開盤
2024-01-24,211.8800048828125,2024-03-06,179.99000549316406,29,-0.15135878188624363,訊號次日開盤
2024-03-13,173.0500030517578,2024-04-08,169.33999633789062,17,-0.02241700094833554,訊號次日開盤
2024-04-25,158.9600067138672,2024-05-13,170.0,12,0.06838247222284388,訊號次日開盤
2024-05-15,179.89999389648438,2024-05-28,176.39999389648438,8,-0.02043530829741358,訊號次日開盤
2024-06-07,176.1300048828125,2024-07-18,251.08999633789065,27,0.4241697886212217,訊號次日開盤
2024-07-30,232.25,2024-08-30,208.6300048828125,23,-0.10259858281678924,訊號次日開盤
2024-09-03,215.25999450683597,2024-10-04,246.69000244140625,23,0.1448640806989252,訊號次日開盤
2024-10-18,220.7100067138672,2024-11-26,341.0,27,0.543469530388941,訊號次日開盤
2024-12-03,351.79998779296875,2024-12-23,431.0,14,0.22390344039946397,訊號次日開盤
2025-01-14,414.3399963378906,2025-01-27,394.7999877929688,8,-0.04811172324072466,訊號次日開盤
2025-01-31,401.5299987792969,2025-02-25,327.0199890136719,16,-0.1863792656934028,訊號次日開盤
2025-03-06,272.0599975585937,2025-04-08,245.0,23,-0.10036343220187072,訊號次日開盤
2025-04-10,260.0,2025-04-21,230.25999450683597,6,-0.11526980928926867,訊號次日開盤
2025-04-24,250.5,2025-05-27,347.3500061035156,22,0.3852408370683478,訊號次日開盤
2025-05-28,364.8399963378906,2025-07-01,298.4599914550781,23,-0.18276043303403733,訊號次日開盤
2025-07-11,307.8900146484375,2025-07-31,319.6099853515625,14,0.03702789925136485,訊號次日開盤
2025-08-07,319.7900085449219,2025-08-21,322.0799865722656,10,0.006154222920346841,訊號次日開盤
2025-08-25,338.8999938964844,2025-09-03,335.20001220703125,6,-0.011906209082566677,訊號次日開盤
2025-09-08,354.6400146484375,2025-10-01,443.7999877929688,17,0.25015900992950346,訊號次日開盤
2025-10-16,434.7300109863281,2025-11-05,452.0499877929688,14,0.03880144527545881,訊號次日開盤
2025-11-25,414.4200134277344,2025-12-30,461.0899963378906,23,0.11150311723943696,訊號次日開盤
2026-01-12,441.2300109863281,2026-01-30,425.3500061035156,13,-0.03695383793987317,訊號次日開盤
2026-02-09,409.9100036621094,2026-02-24,399.5,10,-0.026369944415517432,訊號次日開盤
2026-02-25,412.1499938964844,2026-03-04,397.8500061035156,5,-0.03566089819516871,訊號次日開盤
2026-03-05,401.5700073242188,2026-03-20,379.8500061035156,11,-0.05503314738064058,訊號次日開盤
2026-03-25,389.989990234375,2026-04-29,375.3999938964844,24,-0.03837331495764662,訊號次日開盤
2026-05-01,382.489990234375,2026-05-20,407.6000061035156,13,0.06458370203637043,訊號次日開盤
2026-05-26,430.260009765625,2026-06-02,418.2200012207031,5,-0.028954630358119626,訊號次日開盤
2026-06-12,399.489990234375,2026-07-15,399.3999938964844,21,-0.0012245531641561502,訊號次日開盤
2026-07-31,309.69000244140625,2026-09-14,362.3699951171875,30,0.168936043665191,期末收盤強制平倉
