entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_exit
2021-12-28,369.8299865722656,2022-01-03,382.5833435058594,4,0.033450410283981435,訊號次日開盤
2022-03-21,304.99334716796875,2022-04-01,360.3833312988281,9,0.18042944678025674,訊號次日開盤
2022-06-28,244.48333740234372,2022-06-29,230.5,1,-0.05813779524184337,訊號次日開盤
2022-07-11,252.10333251953125,2022-07-12,236.8466644287109,1,-0.06145653147960106,訊號次日開盤
2022-09-12,300.7200012207031,2022-09-22,299.8599853515625,8,-0.003856497721200558,訊號次日開盤
2023-01-25,141.91000366210938,2023-02-13,194.4199981689453,13,0.3686538673809783,訊號次日開盤
2023-03-31,197.52999877929688,2023-04-04,197.32000732421875,2,-0.0020615240936592283,訊號次日開盤
2023-05-22,180.6999969482422,2023-05-25,186.5399932861328,3,0.03128693781665537,訊號次日開盤
2023-09-01,257.260009765625,2023-09-05,245.0,1,-0.04860797190452126,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-13,258.8999938964844,5,0.018352735013640764,訊號次日開盤
2023-11-16,239.4900054931641,2023-11-24,233.75,5,-0.02494316480669534,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-05,183.0500030517578,3,-0.10438313699842405,訊號次日開盤
2024-04-30,186.97999572753903,2024-05-06,183.8000030517578,4,-0.01798962938078119,訊號次日開盤
2024-06-14,185.8000030517578,2024-06-21,182.3000030517578,4,-0.019818131529183547,訊號次日開盤
2024-09-06,232.6000061035156,2024-09-09,216.1999969482422,1,-0.07143637433462224,訊號次日開盤
2024-10-25,256.010009765625,2024-11-01,252.0399932861328,5,-0.01649127125781269,訊號次日開盤
2025-04-28,288.9800109863281,2025-05-02,284.8999938964844,4,-0.015104071350939052,訊號次日開盤
2025-06-12,323.0799865722656,2025-06-26,324.6099853515625,9,0.003731432053766026,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-25,308.739990234375,4,-0.07765726624843716,訊號次日開盤
2025-08-11,335.0,2025-08-15,337.6600036621094,4,0.006932872847988936,訊號次日開盤
2025-12-05,453.0299987792969,2025-12-09,437.5400085449219,2,-0.035157300013603066,訊號次日開盤
2026-04-17,395.9200134277344,2026-04-22,387.5700073242188,3,-0.022068554572513333,訊號次日開盤
2026-07-02,428.010009765625,2026-07-06,397.5,1,-0.07221165489067638,訊號次日開盤
2026-08-25,349.5799865722656,2026-09-02,360.4100036621094,6,0.02994961840860877,訊號次日開盤
