entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_exit
2021-12-28,369.8299865722656,2022-01-24,301.586669921875,18,-0.1853412516319649,訊號次日開盤
2022-03-21,304.99334716796875,2022-04-28,299.99334716796875,27,-0.017376914856232606,訊號次日開盤
2022-06-28,244.48333740234372,2022-06-30,224.50999450683597,2,-0.08261397650130042,訊號次日開盤
2022-07-11,252.10333251953125,2022-09-01,272.5799865722656,38,0.08014257521359491,訊號次日開盤
2022-09-12,300.7200012207031,2022-09-26,271.8299865722656,10,-0.09697296046011161,訊號次日開盤
2023-01-25,141.91000366210938,2023-03-09,180.25,30,0.2689016660778194,訊號次日開盤
2023-03-31,197.52999877929688,2023-04-06,183.0800018310547,4,-0.07407981342706882,訊號次日開盤
2023-05-22,180.6999969482422,2023-08-02,255.57000732421875,49,0.41291958688392927,訊號次日開盤
2023-09-01,257.260009765625,2023-09-26,242.97999572753903,16,-0.056452118686309616,訊號次日開盤
2023-10-06,253.97999572753903,2023-10-17,250.1000061035156,7,-0.016260983983353294,訊號次日開盤
2023-11-16,239.4900054931641,2024-01-05,236.8600006103516,33,-0.011970213565716925,訊號次日開盤
2024-02-29,204.17999267578125,2024-03-06,179.99000549316406,4,-0.11935492267736392,訊號次日開盤
2024-04-30,186.97999572753903,2024-06-12,171.1199951171875,30,-0.08573663201698667,訊號次日開盤
2024-09-06,232.6000061035156,2024-10-14,220.1300048828125,26,-0.05455726948666084,訊號次日開盤
2025-04-28,288.9800109863281,2025-06-09,285.9599914550781,29,-0.011439672255808775,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-25,308.739990234375,4,-0.07765726624843716,訊號次日開盤
2025-08-11,335.0,2025-11-10,439.6000061035156,64,0.3109272411569257,訊號次日開盤
2025-12-05,453.0299987792969,2026-01-08,427.8900146484375,22,-0.05643701383200306,訊號次日開盤
2026-04-17,395.9200134277344,2026-06-11,388.2799987792969,38,-0.020277077015466882,訊號次日開盤
2026-07-02,428.010009765625,2026-07-09,393.989990234375,4,-0.0804042238259387,訊號次日開盤
2026-08-25,349.5799865722656,2026-09-14,362.3699951171875,13,0.03555071835236756,期末收盤強制平倉
