Date,open,high,low,close,basis,thup,bull,bull_on,bull_off,bx,trend,color,rsi2,rsi14,atr14,atr_pct,sma50,sma200,ema20,ema50,above_basis,above_up1,trend_up,up_day,vol_compressed,confirm_23
2021-09-15,248.3333282470703,252.2866668701172,246.1199951171875,251.94332885742188,238.65027791803533,240.04308590675092,True,False,False,-3.8624565915490208,-2.0326222293298475,深紅,65.2201786036102,64.30842402020059,6.820177404465845,0.02707028376339933,231.8804672241211,230.65615020751954,243.1651828236839,234.51499060223716,True,True,False,True,True,False
2021-09-16,250.94332885742188,252.97000122070312,249.20333862304688,252.3300018310547,239.38474770748255,240.78140151469836,True,False,False,-2.642918381966635,-2.4394863310877057,淺紅,65.62914333306867,64.65483106782597,6.602069203979446,0.026164424190825326,232.62940063476563,230.9718002319336,244.03802272914777,235.21361849356336,True,True,False,True,True,False
2021-09-17,252.38333129882807,253.67999267578125,250.0,253.163330078125,239.87128795276988,241.3194831159968,True,False,False,-1.0006086674853543,-1.480234555352805,淺紅,66.55377022835644,65.43346584865569,6.39334945196529,0.025253852720266923,233.3406005859375,231.26301689147948,244.90709961952655,235.91752875178148,True,True,False,True,True,False
2021-09-20,244.85333251953125,247.3333282470703,239.5399932861328,243.38999938964844,240.05550500118372,241.50689563213209,True,False,False,-14.445108946839232,-10.12348414967709,深紅,49.512380057850045,51.190401219501254,6.9097771191100685,0.028389733088614102,233.8287338256836,231.53193351745605,244.76261388334768,236.21056681601155,True,True,False,False,False,False
2021-09-21,244.92999267578125,248.2466735839844,243.47999572753903,246.4600067138672,240.29186873002485,241.75223050268661,True,False,False,-23.387345007964587,-18.966058055202087,深紅,53.58501902645454,54.538001137425034,6.763126910197633,0.027441072490310463,234.18660064697266,231.7752668762207,244.92427034339715,236.6125056355353,True,True,False,True,True,False
2021-09-22,247.8433380126953,251.22332763671875,246.3733367919922,250.64666748046875,240.6082070090554,242.09190819264504,True,False,False,-23.925370917325964,-22.27226662995134,深紅,58.55832559058916,58.69816730998224,6.626474334092556,0.026437512218704898,234.7426007080078,232.03010025024415,245.46926054692779,237.1628649235719,True,True,False,True,True,False
2021-09-23,251.6666717529297,252.73333740234372,249.30667114257807,251.2133331298828,241.0874999075225,242.59687112021706,True,False,False,-21.395579487340264,-21.68780853487729,淺紅,59.20376402703311,59.24181900058186,6.397916614497778,0.025468061486966995,235.41100067138672,232.21656692504882,246.0163150786378,237.71386367676058,True,True,False,False,True,False
2021-09-24,248.6300048828125,258.26666259765625,248.1866607666016,258.1300048828125,241.57121207497337,243.12148678218745,True,False,False,-6.8579844785403345,-11.801259163985987,淺紅,66.21106635833596,65.25375394767885,6.660922701394698,0.025804527080912836,236.23626739501952,232.42408363342284,247.16999982189253,238.5144966652332,True,True,False,True,True,False
2021-09-27,257.7066650390625,266.3333435058594,256.4366760253906,263.78668212890625,242.30439411510122,243.95889517619443,True,False,False,8.572011020266016,1.7809209588486814,淺綠,70.70096800337897,69.24870779653997,6.892047328471416,0.0261273513615196,237.21720092773438,232.73555038452147,248.75254099398907,239.50556276184784,True,True,True,True,True,False
2021-09-28,262.3999938964844,265.2133178710937,255.3933258056641,259.1866760253906,243.02828285910866,244.76491904160804,True,False,False,16.21843013160162,11.405927074017308,淺綠,63.245459608568254,62.9139167980532,7.101186238254144,0.027397960215973804,238.0928012084961,232.98636711120605,249.74626813983684,240.27737112512403,True,True,True,False,False,False
2021-09-29,259.9333190917969,264.5,256.8933410644531,260.4366760253906,243.72146467729047,245.52942635621352,True,False,False,20.236961511686985,17.29328336579709,淺綠,64.359586865161,63.880845563564925,7.1372914309179105,0.027405093398681215,238.8982012939453,233.27190048217773,250.7644022241753,241.0679321016051,True,True,True,True,False,False
2021-09-30,260.3333435058594,263.0433349609375,258.3333435058594,258.49334716796875,244.3161366780599,246.1892116264224,True,False,False,15.41622416150759,16.041910562937424,深綠,61.21263758324258,61.20895039560386,6.963912861215069,0.02694039493670189,239.69946838378905,233.49798385620116,251.5004922188223,241.75128171205074,True,True,False,False,False,False
2021-10-01,259.4666748046875,260.260009765625,254.52999877929688,258.4066772460937,245.12636427445844,247.00050174887951,True,False,False,7.527791077139954,10.36583090573911,深綠,61.06736076718953,61.08623504117982,6.875777013008858,0.026608356588482075,240.53920196533204,233.7346006011963,252.1582241261815,242.40443447809164,True,True,False,False,False,False
2021-10-04,265.5,268.989990234375,258.7066650390625,260.510009765625,246.38729858398438,248.1917895079435,True,False,False,2.8751279378249537,5.372028927129673,深綠,63.368974246517325,63.02369060474159,7.140601011242604,0.02741008308151707,241.4602020263672,233.99920066833496,252.95363228231898,243.1144570383871,True,True,False,False,False,False
2021-10-05,261.6000061035156,265.7699890136719,258.0666809082031,260.1966552734375,247.4303288315282,249.18332358300992,True,False,False,-2.351823614097325,0.22279389964500784,深紅,62.765916402978775,62.52424336659099,7.180794375115901,0.027597566031622087,242.28000183105468,234.20701728820802,253.64344399575884,243.7843471652518,True,True,False,False,False,False
2021-10-06,258.7333374023437,262.2200012207031,257.739990234375,260.9166564941406,248.47328313191733,250.12180766026518,True,False,False,-6.838496255208393,-4.484732870257259,深紅,63.63341870920996,63.2449927642686,6.9878812759167745,0.02678204362193987,243.19980163574218,234.35326721191407,254.33613090036664,244.45620243305137,True,True,False,True,True,False
2021-10-07,261.82000732421875,268.3333435058594,261.1266784667969,264.53668212890625,249.58063194968483,251.15469606915983,True,False,False,-2.002994663501512,-2.8302407324200947,淺紅,67.75412035670159,66.7114934192344,7.018510257045487,0.026531330931358066,244.17733520507812,234.59285064697266,255.30761196975138,245.24367222504569,True,True,False,True,True,False
2021-10-08,265.4033203125,265.4599914550781,260.3033447265625,261.8299865722656,250.5260105711041,252.0525997230591,True,False,False,-5.021477211370233,-4.291065051720187,深紅,62.02181289514197,62.00281905409128,6.88552000500764,0.02629767543110354,244.8982681274414,234.83476722717285,255.92879050332417,245.89411592493667,True,True,False,False,True,False
2021-10-11,262.54998779296875,267.0799865722656,261.8333435058594,263.9800109863281,251.3575763124408,252.8699483879346,True,False,False,-6.107028911528573,-5.5017076249257775,深紅,64.61595513097545,64.16641856963798,6.768697147507095,0.025640945775465003,245.59653503417968,235.07803398132324,256.6955734064674,246.6033667116579,True,True,False,True,True,False
2021-10-12,266.9766540527344,270.7733459472656,265.5233459472656,268.5733337402344,252.3079298770789,253.82939744192865,True,False,False,3.922242304990096,0.7809256616848046,淺綠,69.47535182440127,68.31709389503916,6.770456991323553,0.025208969546738312,246.23686828613282,235.31795066833496,257.82678867634996,247.4649340461119,True,True,True,True,True,False
