entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-09-27,257.7066650390625,2021-12-06,333.836669921875,49,0.2941186446858841,,訊號次日開盤
2022-01-04,396.51666259765625,2022-01-24,301.586669921875,13,-0.2401700549072714,,訊號次日開盤
2022-03-22,310.0,2022-04-12,332.5466613769531,15,0.0716589706639088,,訊號次日開盤
2022-07-22,276.2200012207031,2022-08-30,287.8699951171875,27,0.04113484799876832,,訊號次日開盤
2023-01-24,143.0,2023-03-03,194.8000030517578,27,0.36087622657365026,,訊號次日開盤
2023-04-03,199.91000366210935,2023-04-21,164.8000030517578,13,-0.17645299188830477,,訊號次日開盤
2023-05-22,180.6999969482422,2023-06-27,243.2400054931641,24,0.34475313309770295,,訊號次日開盤
2023-07-05,278.82000732421875,2023-07-21,268.0,12,-0.03976713686221234,,訊號次日開盤
2023-09-12,270.760009765625,2023-09-25,243.3800048828125,9,-0.1020212079413747,,訊號次日開盤
2023-11-29,249.2100067138672,2024-01-04,239.25,24,-0.04092587325500141,,訊號次日開盤
2024-04-30,186.97999572753903,2024-06-12,171.1199951171875,30,-0.08573663201698678,,訊號次日開盤
2024-06-27,195.1699981689453,2024-07-25,216.8000030517578,19,0.10971621369311779,,訊號次日開盤
2024-09-06,232.6000061035156,2024-10-14,220.1300048828125,26,-0.05455726948666073,,訊號次日開盤
2024-10-28,270.0,2025-01-02,390.1000061035156,45,0.4433707446294033,,訊號次日開盤
2025-05-12,321.989990234375,2025-06-06,298.8299865722656,18,-0.0728553216554435,,訊號次日開盤
2025-08-12,345.0,2025-10-13,423.5299987792969,43,0.22639617518749988,,訊號次日開盤
2025-11-04,454.4599914550781,2025-11-10,439.6000061035156,4,-0.033664934108991296,,訊號次日開盤
2025-12-15,469.4400024414063,2025-12-31,456.1000061035156,11,-0.029387926755732985,,訊號次日開盤
2026-04-20,402.5799865722656,2026-06-08,396.3299865722656,34,-0.016508848284287225,,訊號次日開盤
2026-08-24,361.4100036621094,2026-09-14,362.3699951171875,14,0.0016540841381087468,,期末收盤強制平倉
