entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2021-12-27,357.8900146484375,2022-01-03,382.5833435058594,5,0.06792851355149132,,訊號次日開盤
2022-01-04,396.51666259765625,2022-01-07,360.1233215332031,3,-0.09269039079854435,,訊號次日開盤
2022-01-13,369.6900024414063,2022-01-14,339.9599914550781,1,-0.08133788007291587,,訊號次日開盤
2022-03-21,304.99334716796875,2022-04-27,299.52667236328125,26,-0.01890550020877446,,訊號次日開盤
2022-05-05,313.00665283203125,2022-05-06,295.6666564941406,1,-0.05634230159446474,,訊號次日開盤
2022-07-11,252.10333251953125,2022-07-12,236.8466644287109,1,-0.06145653147960106,,訊號次日開盤
2022-07-19,245.0,2022-09-06,272.67999267578125,34,0.11186713859169739,,訊號次日開盤
2022-09-07,273.1000061035156,2022-09-26,271.8299865722656,13,-0.005645234845465752,,訊號次日開盤
2023-01-27,162.42999267578125,2023-04-06,183.0800018310547,48,0.12600518112778225,,訊號次日開盤
2023-05-22,180.6999969482422,2023-08-08,247.4499969482422,53,0.36802808405839094,,訊號次日開盤
2023-08-30,254.1999969482422,2023-09-05,245.0,3,-0.03715528962569026,,訊號次日開盤
2023-09-06,255.13999938964844,2023-09-07,245.07000732421875,1,-0.04042854755688119,,訊號次日開盤
2023-10-03,248.6100006103516,2023-10-04,248.13999938964844,1,-0.002888126826492532,,訊號次日開盤
2023-10-05,260.0,2023-10-19,225.9499969482422,10,-0.13183015434679568,,訊號次日開盤
2023-11-16,239.4900054931641,2023-11-17,232.0,1,-0.0322430555514579,,訊號次日開盤
2023-11-22,242.0399932861328,2023-11-24,233.75,1,-0.03521577716896018,,訊號次日開盤
2023-11-29,249.2100067138672,2024-01-10,235.1000061035156,28,-0.05756182632613127,,訊號次日開盤
2024-05-14,174.5,2024-06-12,171.1199951171875,20,-0.02034979576327056,,訊號次日開盤
2024-06-13,188.38999938964844,2024-08-05,185.22000122070312,35,-0.017809467685743763,,訊號次日開盤
2024-08-16,211.1499938964844,2024-08-23,214.4600067138672,5,0.014660952292528728,,訊號次日開盤
2024-08-26,218.75,2024-08-27,213.25,1,-0.026117227100735385,,訊號次日開盤
2024-09-06,232.6000061035156,2024-09-09,216.1999969482422,1,-0.07143637433462224,,訊號次日開盤
2024-09-11,224.5500030517578,2024-10-14,220.1300048828125,23,-0.020663629929950078,,訊號次日開盤
2024-10-25,256.010009765625,2025-01-30,410.7799987792969,64,0.6029428866612017,,訊號次日開盤
2025-01-31,401.5299987792969,2025-02-04,382.6300048828125,2,-0.048022396186077065,,訊號次日開盤
2025-04-28,288.9800109863281,2025-06-06,298.8299865722656,28,0.03305174952097367,,訊號次日開盤
2025-06-09,285.9599914550781,2025-07-02,312.6300048828125,16,0.09217212353944348,,訊號次日開盤
2025-07-21,334.3999938964844,2025-07-25,308.739990234375,4,-0.07765726624843694,,訊號次日開盤
2025-07-29,325.54998779296875,2025-07-30,322.17999267578125,1,-0.011340851601320256,,訊號次日開盤
2025-08-08,321.42999267578125,2025-08-22,321.6600036621094,10,-0.0002846289076675612,,訊號次日開盤
2025-08-25,338.8999938964844,2025-11-14,386.2999877929688,58,0.13872495665054196,,訊號次日開盤
2025-12-04,449.9400024414063,2026-01-05,447.989990234375,20,-0.005329106772462011,,訊號次日開盤
2026-01-06,446.3800048828125,2026-01-07,435.8999938964844,1,-0.024453812939076114,,訊號次日開盤
2026-01-12,441.2300109863281,2026-01-15,441.1300048828125,3,-0.0012259267052444622,,訊號次日開盤
2026-01-23,447.4299926757813,2026-01-27,437.4100036621094,2,-0.02337165722640211,,訊號次日開盤
2026-04-20,402.5799865722656,2026-04-22,387.5700073242188,2,-0.038246698993437245,,訊號次日開盤
2026-05-04,390.2300109863281,2026-06-08,396.3299865722656,24,0.014616619697979782,,訊號次日開盤
2026-06-23,392.6099853515625,2026-06-24,380.0799865722656,1,-0.03288222231354676,,訊號次日開盤
2026-09-01,360.8999938964844,2026-09-02,360.4100036621094,1,-0.0023558330215338597,,訊號次日開盤
2026-09-04,362.0700073242188,2026-09-08,357.1000061035156,1,-0.014712411020733729,,訊號次日開盤
2026-09-09,368.25,2026-09-14,362.3699951171875,3,-0.01695096750435654,,期末收盤強制平倉
