entry_date,entry_price,exit_date,exit_price,bars_held,pnl_pct,reason_entry,reason_exit
2022-05-16,255.72000122070312,2022-08-01,301.27667236328125,52,0.1769730362006805,,訊號次日開盤
2022-10-18,229.5,2023-01-30,178.0500030517578,70,-0.22495842253064335,,訊號次日開盤
2023-04-28,160.89999389648438,2023-05-31,199.77999877929688,22,0.24039978987816313,,訊號次日開盤
2023-08-22,240.25,2024-07-02,218.88999938964844,216,-0.08981802796851879,,訊號次日開盤
2025-03-03,300.3399963378906,2025-05-14,342.5,51,0.13923445207571095,,訊號次日開盤
2026-07-31,309.69000244140625,2026-09-14,362.3699951171875,30,0.16893604366519055,,期末收盤強制平倉
